"Country","Date","Number","c1_c2","c3_c4","c5_c6_c7","c8","h2_h3_h6","h7"
"France",2020-03-06,138,0,1,0,0,0,0
"France",2020-03-07,179,0,1,0,0,0,0
"France",2020-03-08,103,0,1,0,0,0,0
"France",2020-03-09,410,0,1,0,0,0,0
"France",2020-03-10,286,0,1,0,0,0,0
"France",2020-03-11,371,0,1,0,0,0,0
"France",2020-03-12,497,0,1,0,0,0,0
"France",2020-03-13,586,0,1,0,0,0,0
"France",2020-03-14,770,0,1,0,0,0,0
"France",2020-03-15,818,0,1,0,0,0,0
"France",2020-03-16,923,0,1,0,0,0,0
"France",2020-03-17,1198,1,1,1,1,0,0
"France",2020-03-18,1070,1,1,1,1,0,0
"France",2020-03-19,1377,1,1,1,1,0,0
"France",2020-03-20,1846,1,1,1,1,0,0
"France",2020-03-21,1595,1,1,1,1,0,0
"France",2020-03-22,1847,1,1,1,1,0,0
"France",2020-03-23,1529,1,1,1,1,0,0
"France",2020-03-24,3794,1,1,1,1,0,0
"France",2020-03-25,2410,1,1,1,1,0,0
"France",2020-03-26,2895,1,1,1,1,0,0
"France",2020-03-27,3866,1,1,1,1,0,0
"France",2020-03-28,3748,1,1,1,1,0,0
"France",2020-03-29,4611,1,1,1,1,0,0
"France",2020-03-30,2491,1,1,1,1,0,0
"France",2020-03-31,4341,1,1,1,1,0,0
"France",2020-04-01,7500,1,1,1,1,0,0
"France",2020-04-02,4784,1,1,1,1,0,0
"France",2020-04-03,2066,1,1,1,1,0,0
"France",2020-04-04,5209,1,1,1,1,0,0
"France",2020-04-05,4221,1,1,1,1,0,0
"France",2020-04-06,1850,1,1,1,1,0,0
"France",2020-04-07,3881,1,1,1,1,0,0
"France",2020-04-08,3737,1,1,1,1,0,0
"France",2020-04-09,3869,1,1,1,1,0,0
"France",2020-04-10,4256,1,1,1,1,0,0
"France",2020-04-11,4333,1,1,1,1,0,0
"France",2020-04-12,3104,1,1,1,1,0,0
"France",2020-04-13,1595,1,1,1,1,0,0
"France",2020-04-14,2669,1,1,1,1,0,0
"France",2020-04-15,5483,1,1,1,1,0,0
"France",2020-04-16,2621,1,1,1,1,0,0
"France",2020-04-17,2623,1,1,1,1,0,0
"France",2020-04-18,385,1,1,1,1,0,0
"France",2020-04-19,2558,1,1,1,1,0,0
"France",2020-04-20,742,1,1,1,1,0,0
"France",2020-04-21,2050,1,1,1,1,0,0
"France",2020-04-22,2638,1,1,1,1,0,0
"France",2020-04-23,1810,1,1,1,1,0,0
"France",2020-04-24,1623,1,1,1,1,0,0
"France",2020-04-25,1755,1,1,1,1,0,0
"France",2020-04-26,1537,1,1,1,1,0,0
"France",2020-04-27,404,1,1,1,1,0,0
"France",2020-04-28,1160,1,1,1,1,0,0
"France",2020-04-29,1025,1,1,1,1,0,0
"France",2020-04-30,1601,1,1,1,1,0,0
"France",2020-05-01,1055,1,1,1,1,0,0
"France",2020-05-02,601,1,1,1,1,0,0
"France",2020-05-03,736,1,1,1,1,0,0
"France",2020-05-04,250,1,1,1,1,0,0
"France",2020-05-05,534,1,1,1,1,0,0
"France",2020-05-06,1050,1,1,1,1,0,0
"France",2020-05-07,4176,1,1,1,1,0,0
"France",2020-05-08,512,1,1,1,1,0,0
"France",2020-05-09,598,1,1,1,1,0,0
"France",2020-05-10,430,1,1,1,1,0,0
"France",2020-05-11,65,0,1,1,1,0,0
"France",2020-05-12,418,0,1,1,1,0,0
"France",2020-05-13,670,0,1,1,1,0,0
"France",2020-05-14,448,0,1,1,1,0,0
"France",2020-05-15,543,0,1,1,1,0,0
"France",2020-05-16,494,0,1,1,1,0,0
"France",2020-05-17,362,0,1,1,1,0,0
"France",2020-05-18,28,0,1,1,1,0,0
"France",2020-05-19,461,0,1,1,1,0,0
"France",2020-05-20,462,0,1,1,1,0,0
"France",2020-05-21,353,0,1,1,1,0,0
"France",2020-05-22,278,0,1,1,1,0,0
"France",2020-05-23,359,0,1,1,1,0,0
"France",2020-05-24,224,0,1,1,1,0,0
"France",2020-05-25,31,0,1,1,1,0,0
"France",2020-05-26,278,0,1,1,1,0,0
"France",2020-05-27,222,0,1,1,1,0,0
"France",2020-05-28,148,0,1,1,1,0,0
"France",2020-05-29,3270,0,1,1,1,0,0
"France",2020-05-30,535,0,1,1,1,0,0
"France",2020-05-31,1779,0,1,1,1,0,0
"France",2020-06-01,88,0,1,1,1,0,0
"France",2020-06-02,251,0,1,1,1,0,0
"France",2020-06-03,766,0,1,1,1,0,0
"France",2020-06-04,254,0,1,1,1,0,0
"France",2020-06-05,678,0,1,1,1,0,0
"France",2020-06-06,554,0,1,1,1,0,0
"France",2020-06-07,527,0,1,1,1,0,0
"France",2020-06-08,293,0,1,1,1,0,0
"France",2020-06-09,98,0,1,1,1,0,0
