Parameter,Median,Min,Max,pd,Lag,Model
mut,0.14259,0.14259,0.14259,100%,0,ARX
At,0.92166,0.92166,0.92166,100%,0,ARX
c1_c2,-0.02283,-0.02283,-0.02283,100%,0,ARX
c3_c4,0.24669,0.24669,0.24669,100%,0,ARX
c5_c6_c7,0.00164,0.00164,0.00164,96%,0,ARX
c8,0.31933,0.31933,0.31933,100%,0,ARX
h2_h3_h6,0.09390,0.09390,0.09390,100%,0,ARX
h7,-0.03232,-0.03232,-0.03232,100%,0,ARX
mut,0.14476,0.14476,0.14476,100%,1,ARX
At,0.92468,0.92468,0.92468,100%,1,ARX
c1_c2,-0.03056,-0.03056,-0.03056,100%,1,ARX
c3_c4,0.24519,0.24519,0.24519,100%,1,ARX
c5_c6_c7,-0.00739,-0.00739,-0.00739,100%,1,ARX
c8,0.30954,0.30954,0.30954,100%,1,ARX
h2_h3_h6,0.08237,0.08237,0.08237,100%,1,ARX
h7,-0.02333,-0.02333,-0.02333,100%,1,ARX
mut,0.15099,0.15099,0.15099,100%,7,ARX
At,0.92547,0.92547,0.92547,100%,7,ARX
c1_c2,-0.03968,-0.03968,-0.03968,100%,7,ARX
c3_c4,0.21983,0.21983,0.21983,100%,7,ARX
c5_c6_c7,-0.02375,-0.02375,-0.02375,100%,7,ARX
c8,0.33898,0.33898,0.33898,100%,7,ARX
h2_h3_h6,0.08647,0.08647,0.08647,100%,7,ARX
h7,-0.03123,-0.03123,-0.03123,100%,7,ARX
mut,0.15099,0.15099,0.15099,100%,14,ARX
At,0.92547,0.92547,0.92547,100%,14,ARX
c1_c2,-0.03968,-0.03968,-0.03968,100%,14,ARX
c3_c4,0.21983,0.21983,0.21983,100%,14,ARX
c5_c6_c7,-0.02375,-0.02375,-0.02375,100%,14,ARX
c8,0.33898,0.33898,0.33898,100%,14,ARX
h2_h3_h6,0.08647,0.08647,0.08647,100%,14,ARX
h7,-0.03123,-0.03123,-0.03123,100%,14,ARX
mut,0.18553,-0.66540,1.04553,79%,0,tvARX
At,0.86187,0.72710,0.90031,100%,0,tvARX
c1_c2,-0.10640,-1.15957,0.06504,61%,0,tvARX
c3_c4,0.41744,0.08428,1.19861,100%,0,tvARX
c5_c6_c7,0.30132,-0.43015,1.07074,66%,0,tvARX
c8,0.55268,0.03835,1.41924,100%,0,tvARX
h2_h3_h6,-0.45704,-1.04585,0.45304,74%,0,tvARX
h7,0.18982,-1.47721,2.58283,69%,0,tvARX
mut,0.17743,-0.64570,1.04660,79%,1,tvARX
At,0.85230,0.71890,0.89390,100%,1,tvARX
c1_c2,-0.16538,-1.17350,0.07780,66%,1,tvARX
c3_c4,0.44506,0.07980,1.18140,100%,1,tvARX
c5_c6_c7,0.30352,-0.44850,1.05050,66%,1,tvARX
c8,0.59916,0.05470,1.41870,100%,1,tvARX
h2_h3_h6,-0.46246,-1.04940,0.48120,74%,1,tvARX
h7,0.27821,-1.47580,2.58560,85%,1,tvARX
mut,0.20459,-0.61980,1.05880,81%,7,tvARX
At,0.84617,0.70770,0.89310,100%,7,tvARX
c1_c2,-0.15666,-1.15870,0.05250,75%,7,tvARX
c3_c4,0.44123,0.20040,1.30890,100%,7,tvARX
c5_c6_c7,0.27954,-0.41070,1.04290,66%,7,tvARX
c8,0.65729,0.09020,1.46750,100%,7,tvARX
h2_h3_h6,-0.37272,-0.98130,0.44800,74%,7,tvARX
h7,0.15671,-1.44830,2.65650,68%,7,tvARX
mut,0.20269,-0.57870,1.05875,81%,14,tvARX
At,0.84624,0.68290,0.89310,100%,14,tvARX
c1_c2,-0.15531,-0.82980,0.05200,75%,14,tvARX
c3_c4,0.43983,0.19520,1.28900,100%,14,tvARX
c5_c6_c7,0.28253,-0.34680,1.01137,66%,14,tvARX
c8,0.65739,0.18340,1.16876,100%,14,tvARX
h2_h3_h6,-0.37175,-1.04410,0.44721,74%,14,tvARX
h7,0.15795,-1.48310,1.96776,68%,14,tvARX
