Parameter,Median,Min,Max,pd,Lag,Model
mut,0.20507,0.20507,0.20507,100%,0,INGARCHX
sigma2lat,5.56245,5.56245,5.56245,100%,0,INGARCHX
At,1.03367,1.03367,1.03367,100%,0,INGARCHX
Bt,-0.12947,-0.12947,-0.12947,100%,0,INGARCHX
c1_c2,-0.02073,-0.02073,-0.02073,100%,0,INGARCHX
c3_c4,0.29160,0.29160,0.29160,100%,0,INGARCHX
c5_c6_c7,0.01521,0.01521,0.01521,100%,0,INGARCHX
c8,0.34354,0.34354,0.34354,100%,0,INGARCHX
h2_h3_h6,0.11846,0.11846,0.11846,100%,0,INGARCHX
h7,-0.03909,-0.03909,-0.03909,100%,0,INGARCHX
mut,0.20182,0.20182,0.20182,100%,1,INGARCHX
sigma2lat,5.57577,5.57577,5.57577,100%,1,INGARCHX
At,1.02864,1.02864,1.02864,100%,1,INGARCHX
Bt,-0.12058,-0.12058,-0.12058,100%,1,INGARCHX
c1_c2,-0.02758,-0.02758,-0.02758,100%,1,INGARCHX
c3_c4,0.28737,0.28737,0.28737,100%,1,INGARCHX
c5_c6_c7,0.00776,0.00776,0.00776,100%,1,INGARCHX
c8,0.33203,0.33203,0.33203,100%,1,INGARCHX
h2_h3_h6,0.10605,0.10605,0.10605,100%,1,INGARCHX
h7,-0.02776,-0.02776,-0.02776,100%,1,INGARCHX
mut,0.19165,0.19165,0.19165,100%,7,INGARCHX
sigma2lat,6.67335,6.67335,6.67335,100%,7,INGARCHX
At,1.03076,1.03076,1.03076,100%,7,INGARCHX
Bt,-0.12018,-0.12018,-0.12018,100%,7,INGARCHX
c1_c2,-0.04126,-0.04126,-0.04126,100%,7,INGARCHX
c3_c4,0.26027,0.26027,0.26027,100%,7,INGARCHX
c5_c6_c7,-0.01503,-0.01503,-0.01503,100%,7,INGARCHX
c8,0.37929,0.37929,0.37929,100%,7,INGARCHX
h2_h3_h6,0.10487,0.10487,0.10487,100%,7,INGARCHX
h7,-0.03766,-0.03766,-0.03766,100%,7,INGARCHX
mut,0.20016,0.20016,0.20016,100%,14,INGARCHX
sigma2lat,7.90374,7.90374,7.90374,100%,14,INGARCHX
At,1.03751,1.03751,1.03751,100%,14,INGARCHX
Bt,-0.11946,-0.11946,-0.11946,100%,14,INGARCHX
c1_c2,-0.04382,-0.04382,-0.04382,100%,14,INGARCHX
c3_c4,0.17262,0.17262,0.17262,100%,14,INGARCHX
c5_c6_c7,-0.03106,-0.03106,-0.03106,100%,14,INGARCHX
c8,0.40130,0.40130,0.40130,100%,14,INGARCHX
h2_h3_h6,0.09442,0.09442,0.09442,100%,14,INGARCHX
h7,-0.02295,-0.02295,-0.02295,100%,14,INGARCHX
sigma2lat,5.59754,NA,NA,100%,0,tvINGARCHX
mut,0.86060,0.00380,1.08400,100%,0,tvINGARCHX
At,0.72920,0.21030,0.85180,100%,0,tvINGARCHX
Bt,-0.05980,-0.19590,0.45040,73%,0,tvINGARCHX
c1_c2,0.18120,0.05200,1.54510,100%,0,tvINGARCHX
c3_c4,0.12240,-1.40490,1.25430,56%,0,tvINGARCHX
c5_c6_c7,0.53810,-1.30300,1.16830,91%,0,tvINGARCHX
c8,0.66010,-0.17290,1.26040,96%,0,tvINGARCHX
h2_h3_h6,0.34930,-0.46540,1.01530,66%,0,tvINGARCHX
h7,0.26940,-0.17700,2.06000,79%,0,tvINGARCHX
sigma2lat,5.50260,NA,NA,100%,1,tvINGARCHX
mut,0.47530,-0.09940,1.04890,99%,1,tvINGARCHX
At,0.61750,0.17470,0.74270,100%,1,tvINGARCHX
Bt,0.00960,-0.33580,0.50610,56%,1,tvINGARCHX
c1_c2,0.26840,0.11800,1.45700,100%,1,tvINGARCHX
c3_c4,0.11300,-1.46160,1.14050,55%,1,tvINGARCHX
c5_c6_c7,0.52770,-1.36260,1.12230,90%,1,tvINGARCHX
c8,0.61040,-0.23930,1.27350,95%,1,tvINGARCHX
h2_h3_h6,0.28940,-0.48670,0.96610,63%,1,tvINGARCHX
h7,0.33900,-0.15400,1.99430,81%,1,tvINGARCHX
sigma2lat,6.57772,NA,NA,100%,7,tvINGARCHX
mut,0.51031,-0.08918,1.13706,99%,7,tvINGARCHX
At,0.64752,0.20617,0.84310,100%,7,tvINGARCHX
Bt,-0.04105,-0.34871,0.46735,71%,7,tvINGARCHX
c1_c2,0.29307,0.15850,1.44989,100%,7,tvINGARCHX
c3_c4,0.09137,-1.49413,1.12671,54%,7,tvINGARCHX
c5_c6_c7,0.48672,-1.39644,1.05323,90%,7,tvINGARCHX
c8,0.59469,-0.27380,1.24414,93%,7,tvINGARCHX
h2_h3_h6,0.24514,-0.49929,0.95609,62%,7,tvINGARCHX
h7,0.25832,-0.16711,1.96046,80%,7,tvINGARCHX
sigma2lat,7.96359,NA,NA,100%,14,tvINGARCHX
mut,0.56179,0.19852,1.19843,100%,14,tvINGARCHX
At,0.60884,0.19265,0.77949,100%,14,tvINGARCHX
Bt,0.00507,-0.27573,0.48253,52%,14,tvINGARCHX
c1_c2,0.22398,0.04490,1.72755,100%,14,tvINGARCHX
c3_c4,0.10695,-1.44419,1.40952,55%,14,tvINGARCHX
c5_c6_c7,0.46808,-1.34627,1.13679,91%,14,tvINGARCHX
c8,0.64427,-0.21925,1.24736,96%,14,tvINGARCHX
h2_h3_h6,0.27189,-0.46579,0.97024,63%,14,tvINGARCHX
h7,0.25246,-0.16700,2.00850,80%,14,tvINGARCHX
