"Parameter","Median","Min","Max","pd","Lag","Model"
"mut",5.75800554672347,5.75800554672347,5.75800554672347,1,0,"ARX"
"At",0.946341589695212,0.946341589695212,0.946341589695212,1,0,"ARX"
"c1_c2",-0.0371546916356237,-0.0371546916356237,-0.0371546916356237,1,0,"ARX"
"c3_c4",-0.0441474716740287,-0.0441474716740287,-0.0441474716740287,1,0,"ARX"
"c5_c6_c7",0.0410225366217054,0.0410225366217054,0.0410225366217054,1,0,"ARX"
"c8",-5.08213982787749,-5.08213982787749,-5.08213982787749,1,0,"ARX"
"h2_h3_h6",-0.0414011307577907,-0.0414011307577907,-0.0414011307577907,1,0,"ARX"
"h7",-0.0476213604608846,-0.0476213604608846,-0.0476213604608846,1,0,"ARX"
"mut",3.27790733798851,3.27790733798851,3.27790733798851,1,1,"ARX"
"At",0.889152871649935,0.889152871649935,0.889152871649935,1,1,"ARX"
"c1_c2",-0.0563763233113452,-0.0563763233113452,-0.0563763233113452,1,1,"ARX"
"c3_c4",0.0529794967419023,0.0529794967419023,0.0529794967419023,1,1,"ARX"
"c5_c6_c7",0.221606058324044,0.221606058324044,0.221606058324044,1,1,"ARX"
"c8",-5.72269517654016,-5.72269517654016,-5.72269517654016,1,1,"ARX"
"h2_h3_h6",3.48397421606475,3.48397421606475,3.48397421606475,1,1,"ARX"
"h7",0.0173322184757859,0.0173322184757859,0.0173322184757859,1,1,"ARX"
"mut",3.68389933974465,3.68389933974465,3.68389933974465,1,7,"ARX"
"At",0.866900071563262,0.866900071563262,0.866900071563262,1,7,"ARX"
"c1_c2",-0.0549127785590054,-0.0549127785590054,-0.0549127785590054,1,7,"ARX"
"c3_c4",0.223904471982303,0.223904471982303,0.223904471982303,1,7,"ARX"
"c5_c6_c7",0.465035232925943,0.465035232925943,0.465035232925943,1,7,"ARX"
"c8",-4.76842545441641,-4.76842545441641,-4.76842545441641,1,7,"ARX"
"h2_h3_h6",1.98025724202504,1.98025724202504,1.98025724202504,1,7,"ARX"
"h7",0.0647680765117764,0.0647680765117764,0.0647680765117764,1,7,"ARX"
"mut",5.75194808300001,5.75194808300001,5.75194808300001,1,14,"ARX"
"At",0.949615556941315,0.949615556941315,0.949615556941315,1,14,"ARX"
"c1_c2",-0.00957703655343843,-0.00957703655343843,-0.00957703655343843,1,14,"ARX"
"c3_c4",-0.0389653846307543,-0.0389653846307543,-0.0389653846307543,1,14,"ARX"
"c5_c6_c7",0.0588725121760873,0.0588725121760873,0.0588725121760873,1,14,"ARX"
"c8",-5.23572498638664,-5.23572498638664,-5.23572498638664,1,14,"ARX"
"h2_h3_h6",0.0528286006945867,0.0528286006945867,0.0528286006945867,1,14,"ARX"
"h7",-0.0304014999352261,-0.0304014999352261,-0.0304014999352261,1,14,"ARX"
"mut",0.189257015497663,-0.40556962050824,14.8519112517674,0.667464114832536,0,"tvARX"
"At",0.964019691005543,-0.899343115434134,0.999993756236125,0.966507177033493,0,"tvARX"
"c1_c2",0.0218794675801959,-0.402660428080959,0.258983213247915,0.521531100478469,0,"tvARX"
"c3_c4",-0.0954165954763073,-0.467842227628918,1.00250412750194,0.574162679425837,0,"tvARX"
"c5_c6_c7",0.574743703983172,-0.118280275691418,1.70240123119879,0.880382775119617,0,"tvARX"
"c8",-0.622567390518631,-1.40395208260149,2.40831925973286,0.727272727272727,0,"tvARX"
"h2_h3_h6",0.244796973259687,-0.588973472468559,0.955046090512753,0.751196172248804,0,"tvARX"
"h7",-0.36569569386476,-1.13569417435869,3.00282540103739,0.815789473684211,0,"tvARX"
"mut",0.241526516592833,-0.345941969271338,13.680809228533,0.676258992805755,1,"tvARX"
"At",0.963989044827116,-0.902273817210448,0.999993805700723,0.966426858513189,1,"tvARX"
"c1_c2",0.0347442638035867,-0.370654551488866,0.299810158952957,0.532374100719424,1,"tvARX"
"c3_c4",-0.138375139902822,-0.487101419111814,1.0431421436081,0.573141486810552,1,"tvARX"
"c5_c6_c7",0.567685202207185,-0.117365925176905,1.66051449266237,0.892086330935252,1,"tvARX"
"c8",-0.632002519706343,-1.41040734121295,2.79929704719088,0.726618705035971,1,"tvARX"
"h2_h3_h6",0.233356618076282,-0.593856272220094,0.923702356889925,0.724220623501199,1,"tvARX"
"h7",-0.358761870906164,-1.13330194461184,3.39807550011062,0.808153477218225,1,"tvARX"
"mut",0.171584158387804,-0.403629028980908,14.4303809131128,0.62287104622871,7,"tvARX"
"At",0.963968719411744,-0.818005474798566,0.999993714625915,0.965936739659367,7,"tvARX"
"c1_c2",0.0209864694167199,-0.327538736701182,0.260528889188843,0.537712895377129,7,"tvARX"
"c3_c4",-0.0780075810492072,-0.441126002308583,0.966429906435724,0.571776155717762,7,"tvARX"
"c5_c6_c7",0.543864884191497,-0.220708534277061,1.61651519142097,0.827250608272506,7,"tvARX"
"c8",-0.627188804543214,-1.40816810228483,2.22975307818376,0.715328467153285,7,"tvARX"
"h2_h3_h6",0.221596405256848,-0.586175237692103,0.957209610123581,0.795620437956204,7,"tvARX"
"h7",-0.36592951143298,-1.13703693082348,2.82904866102523,0.751824817518248,7,"tvARX"
"mut",0.109458156766611,-0.37152071964616,15.4385100041592,0.618811881188119,14,"tvARX"
"At",0.906664457025169,-0.781838895263002,0.9999936114782,0.97029702970297,14,"tvARX"
"c1_c2",0.00113925316643128,-0.302365245131951,0.317933155640248,0.502475247524752,14,"tvARX"
"c3_c4",-0.0202138352372421,-0.480936738126581,0.783971872042417,0.52970297029703,14,"tvARX"
"c5_c6_c7",0.634367769158583,-0.321699617514073,1.46372540651277,0.826732673267327,14,"tvARX"
"c8",-0.570415706380725,-1.07949124936196,1.74497621646594,0.71039603960396,14,"tvARX"
"h2_h3_h6",0.228409069172757,-0.306184768056255,1.16486548403631,0.774752475247525,14,"tvARX"
"h7",-0.366633245662344,-1.12996848050088,2.35716180105603,0.742574257425743,14,"tvARX"
