"Parameter","Median","Min","Max","pd","Lag","Model"
"mut",5.56236647279001,5.56236647279001,5.56236647279001,1,0,"INGARCHX"
"sigma2lat",5.31774004916643,5.31774004916643,5.31774004916643,1,0,"INGARCHX"
"At",0.423784280370294,0.423784280370294,0.423784280370294,1,0,"INGARCHX"
"Bt",0.563881432820555,0.563881432820555,0.563881432820555,1,0,"INGARCHX"
"c1_c2",-0.012806322250025,-0.012806322250025,-0.012806322250025,1,0,"INGARCHX"
"c3_c4",-0.057179857692442,-0.057179857692442,-0.057179857692442,1,0,"INGARCHX"
"c5_c6_c7",0.0533894128319031,0.0533894128319031,0.0533894128319031,1,0,"INGARCHX"
"c8",-5.28229922589781,-5.28229922589781,-5.28229922589781,1,0,"INGARCHX"
"h2_h3_h6",-0.125777991995838,-0.125777991995838,-0.125777991995838,1,0,"INGARCHX"
"h7",-0.0196270861578524,-0.0196270861578524,-0.0196270861578524,1,0,"INGARCHX"
"mut",5.56396177587279,5.56396177587279,5.56396177587279,1,1,"INGARCHX"
"sigma2lat",5.40267349192282,5.40267349192282,5.40267349192282,1,1,"INGARCHX"
"At",0.42619613320825,0.42619613320825,0.42619613320825,1,1,"INGARCHX"
"Bt",0.561339025484732,0.561339025484732,0.561339025484732,1,1,"INGARCHX"
"c1_c2",-0.0103429027039574,-0.0103429027039574,-0.0103429027039574,1,1,"INGARCHX"
"c3_c4",-0.0570436402333315,-0.0570436402333315,-0.0570436402333315,1,1,"INGARCHX"
"c5_c6_c7",0.048488767160714,0.048488767160714,0.048488767160714,1,1,"INGARCHX"
"c8",-5.29440476713235,-5.29440476713235,-5.29440476713235,1,1,"INGARCHX"
"h2_h3_h6",-0.110617864457646,-0.110617864457646,-0.110617864457646,1,1,"INGARCHX"
"h7",-0.0223017524911058,-0.0223017524911058,-0.0223017524911058,1,1,"INGARCHX"
"mut",5.57555139838729,5.57555139838729,5.57555139838729,1,7,"INGARCHX"
"sigma2lat",7.7257418651983,7.7257418651983,7.7257418651983,1,7,"INGARCHX"
"At",0.420584838312796,0.420584838312796,0.420584838312796,1,7,"INGARCHX"
"Bt",0.567983725983094,0.567983725983094,0.567983725983094,1,7,"INGARCHX"
"c1_c2",-0.00415669725837044,-0.00415669725837044,-0.00415669725837044,1,7,"INGARCHX"
"c3_c4",-0.0105703392493351,-0.0105703392493351,-0.0105703392493351,1,7,"INGARCHX"
