"Country","Date","Number","c1_c2","c3_c4","c5_c6_c7","c8","h2_h3_h6","h7"
"United States","2020-03-09",259,0,0,0,1,0,0
"United States","2020-03-10",224,0,0,0,1,0,0
"United States","2020-03-11",224,0,0,0,1,0,0
"United States","2020-03-12",291,0,0,0,1,0,0
"United States","2020-03-13",277,0,0,0,1,0,0
"United States","2020-03-14",414,0,0,0,1,0,0
"United States","2020-03-15",36,0,0,0,1,0,0
"United States","2020-03-16",36,0,0,0,1,0,0
"United States","2020-03-17",1822,0,0,1,1,0,0
"United States","2020-03-18",820,0,0,1,1,0,0
"United States","2020-03-19",6082,1,0,1,1,0,0
"United States","2020-03-20",4777,1,0,1,1,0,0
"United States","2020-03-21",4777,1,1,1,1,0,0
"United States","2020-03-22",4777,1,1,1,1,0,0
"United States","2020-03-23",16354,1,1,1,1,0,0
"United States","2020-03-24",10591,1,1,1,1,0,0
"United States","2020-03-25",9750,1,1,1,1,0,0
"United States","2020-03-26",11656,1,1,1,1,0,0
"United States","2020-03-27",4764,1,1,1,1,0,0
"United States","2020-03-28",16894,1,1,1,1,0,0
"United States","2020-03-29",18093,1,1,1,1,0,0
"United States","2020-03-30",19332,1,1,1,1,0,0
"United States","2020-03-31",17987,1,1,1,1,0,0
"United States","2020-04-01",22559,1,1,1,1,0,0
"United States","2020-04-02",24103,1,1,1,1,0,0
"United States","2020-04-03",26298,1,1,1,1,0,0
"United States","2020-04-04",28103,1,1,1,1,0,0
"United States","2020-04-05",32105,1,1,1,1,0,0
"United States","2020-04-06",33510,1,1,1,1,1,0
"United States","2020-04-07",26493,1,1,1,1,1,0
"United States","2020-04-08",29510,1,1,1,1,1,0
"United States","2020-04-09",31709,1,1,1,1,1,0
"United States","2020-04-10",30859,1,1,1,1,1,0
"United States","2020-04-11",35386,1,1,1,1,1,0
"United States","2020-04-12",31606,1,1,1,1,1,0
"United States","2020-04-13",31633,1,1,1,1,1,0
"United States","2020-04-14",29308,1,1,1,1,1,0
"United States","2020-04-15",24446,1,1,1,1,1,0
"United States","2020-04-16",25802,1,1,1,1,1,0
"United States","2020-04-17",28711,1,1,1,1,1,0
"United States","2020-04-18",32549,1,1,1,1,1,0
"United States","2020-04-19",30023,1,1,1,1,1,0
"United States","2020-04-20",28252,1,1,1,1,1,0
"United States","2020-04-21",27668,1,1,1,1,1,0
"United States","2020-04-22",25634,1,1,1,1,1,0
